"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/2935acd6-494d-4a15-b340-adbe368c1aca-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","751","GoBGG","14775150","6780","4627","2178","239852","3779","163792","true","false","French","GoBGG"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f539739d-25e8-4b45-8fa9-2df6c35fdbe7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","752","Halifax","491775","7695","370","63","239694","423","2285","true","false","English","Halifax"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ce5253ce-beff-42ab-bab2-99c13f1a8761-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","753","Lory","1785135","4440","679","401","239677","-1484","26785","true","true","German","Lory"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e75dfea3-4cc2-4944-b681-194deb49e2d3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","754","MoraisHD","327510","2310","599","141","239473","1489","8459","true","true","Portuguese","MoraisHD"
"https://static-cdn.jtvnw.net/jtv_user_pictures/255bc20e-0642-4f21-b21f-6df36cb73329-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","755","Electra","2625","315","15","8","239460","28","21","true","false","English","Electra"
"https://static-cdn.jtvnw.net/jtv_user_pictures/0a53b702-5275-4fed-9db6-83e6cb044bed-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","756","Wyld","29920515","13275","3996","2253","239380","6423","84504","true","false","English","Wyld"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1d25a126-a6f4-4896-b7b7-8b86e80794d5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","757","ZilverK","385890","2235","448","172","239130","2488","9931","true","false","Spanish","ZilverK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/eternalenvyy-profile_image-6b20e441fd6342b1-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","758","EternaLEnVyy","23012715","3795","15627","6063","239118","4848","199779","true","false","English","EternaLEnVyy"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b7233d86-2cba-4a12-9fe0-a18ddf696917-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","759","CasinoHouseTV","9992595","10455","4035","955","238809","9424","66243","true","false","French","CasinoHouseTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f5cbedb0-0569-43b1-91c2-9270daef02a3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","760","AnisaJomha","4294650","4470","2579","960","238664","16821","177814","true","false","English","AnisaJomha"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d298b2cf-18b8-41b3-be6e-334ab5ebec85-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","761","gamelifeow","0","15","0","0","238394","0","0","true","false","Russian","gamelifeow"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6a52d8ed-29bc-43c4-a049-c8a83de16849-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","762","ProTanki_Yusha","8414190","4290","10619","1960","238152","6883","182417","true","false","Russian","ProTanki_Yusha"
"https://static-cdn.jtvnw.net/jtv_user_pictures/wooflesstv-profile_image-edc021d3edcb818e-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","763","WOOFLESStv","487170","255","3235","1910","237877","1905","4244","true","false","English","WOOFLESStv"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9e971064-61db-42eb-9a07-259197fecf51-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","764","runitup","42080625","5985","16184","7030","237832","9002","451202","true","false","English","runitup"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c21da042-669a-44c3-a394-a56f21c02260-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","765","Sweatcicle","0","30","0","0","237785","0","0","true","true","English","Sweatcicle"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ee76fdadddec1ae6-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","766","NBK","804300","240","5364","3351","237680","2297","11192","true","false","English","NBK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5383b246-5735-4380-bd87-88ff1c150c3c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","767","KOSDFF","2361495","1770","2915","1333","236424","7212","12568","true","false","English","KOSDFF"
"https://static-cdn.jtvnw.net/jtv_user_pictures/illidanstr-profile_image-1294f40f321c3394-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","768","illidanstr","45952275","7560","22844","6077","236321","18021","430873","true","true","Russian","illidanstr"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6fa5de3e-364d-4670-ad77-6146e0cebbf1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","769","lngliveofficial","5079960","555","10859","9152","235785","2232","94299","true","true","Chinese","lngliveofficial"
"https://static-cdn.jtvnw.net/jtv_user_pictures/h2p_gucio-profile_image-a32982661b4aebe5-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","770","H2P_Gucio","4919610","6045","2586","813","234888","2027","65544","true","false","Polish","H2P_Gucio"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c2295f74bb81c854-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","771","TheAn1meMan","59580","90","811","662","234473","522","0","true","true","English","TheAn1meMan"
"https://static-cdn.jtvnw.net/jtv_user_pictures/83d07f2f-3a74-47ff-9115-20b635e82fdd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","772","RuneScape","3806775","1800","8273","2114","234354","2137","72483","true","false","English","RuneScape"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1a58084d-efbf-47e6-b9de-6f0458822307-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","773","SpenFC","2765850","1080","8030","2560","234307","10711","33590","true","false","English","SpenFC"
"https://static-cdn.jtvnw.net/jtv_user_pictures/cea841cd492541a0-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","774","RanzratteLive","2024445","3000","1216","674","233592","2722","32646","true","true","German","RanzratteLive"
"https://static-cdn.jtvnw.net/jtv_user_pictures/squirrel-profile_image-bbaf699c7974f0ed-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","775","Squirrel","18553095","7200","9023","2576","233544","14369","135854","true","true","English","Squirrel"
"https://static-cdn.jtvnw.net/jtv_user_pictures/kuchentv-profile_image-708de77184d4e22d-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","776","KuchenTV","148140","1380","240","106","233276","405","4470","true","false","German","KuchenTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b8cc344a-a220-4fe6-9bdf-40edd7001067-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","777","InTheLittleWood","507495","975","1040","519","232854","771","11193","true","false","English","InTheLittleWood"
"https://static-cdn.jtvnw.net/jtv_user_pictures/141cb988-18cb-43a8-9811-a31f90a08cd0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","778","SonyaTheEvil","1869750","6990","700","266","232836","-330","50670","true","true","English","SonyaTheEvil"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f4767e71-a0e3-46f4-b967-7ff9392c2c02-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","779","Robbaz","205890","225","1155","915","232781","101","1122","true","true","English","Robbaz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d57b8c51dd937f49-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","780","Fierik","64350","2070","81","30","232578","244","2246","true","false","Italian","Fierik"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a4ab7b42-437a-4830-9ac3-7e3efee1f68f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","781","IFrostBolt","691425","10155","933","67","232506","1592","1883","true","false","English","IFrostBolt"
"https://static-cdn.jtvnw.net/jtv_user_pictures/thedevildoggamer-profile_image-81fed36cade677bc-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","782","TheDevilDogGamer","1887135","2400","1353","785","232384","2094","22671","true","false","English","TheDevilDogGamer"
"https://static-cdn.jtvnw.net/jtv_user_pictures/939565cd-1865-43a2-9acf-63ef75c7af93-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","783","Stintik","4410","15","294","294","231863","0","0","true","false","Russian","Stintik"
"https://static-cdn.jtvnw.net/jtv_user_pictures/yuniko0720-profile_image-fb80d0c6114ffc25-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","784","小熊 (yuniko0720)","2442660","1455","3527","1678","231667","2220","43540","true","false","Chinese","小熊 (yuniko0720)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/219b4b17-6edc-48cc-afb2-b176b498996b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","785","Mew2King","378600","600","946","631","231586","533","1414","true","false","English","Mew2King"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5b5ea918-8659-4988-b9ba-a0e89d6ef840-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","786","Lo0p__","5895","615","41","9","231480","117","488","true","false","English","Lo0p__"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9e9d0fab-aac3-44d0-b8c0-6c0c0a629f62-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","787","Multiplayer","5411715","8910","5222","606","231450","4111","216908","true","false","Turkish","Multiplayer"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f688220f498ddb36-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","788","smqcked","312690","1590","665","196","231063","672","1615","true","false","English","smqcked"
"https://static-cdn.jtvnw.net/jtv_user_pictures/83b6a10e-7db5-46e0-a0d5-550878067dd8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","789","Swebliss","4850445","12765","942","379","230616","5666","180861","true","false","Swedish","Swebliss"
"https://static-cdn.jtvnw.net/jtv_user_pictures/mumusiraneitor-profile_image-5c9bb3af778f9b8b-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","790","mumusiraneitor","150","75","6","2","230103","2","9","true","true","Spanish","mumusiraneitor"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1d4034d3-bc80-4c66-bf39-8f7d93bc7b70-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","791","Hysteria","349860","4800","322","72","229786","290","1307","true","false","English","Hysteria"
"https://static-cdn.jtvnw.net/jtv_user_pictures/617a8da9-de39-4aef-97f9-b0fa7a6c41d7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","792","WindyGirk","293955","1185","909","247","229212","2438","10446","false","false","Spanish","WindyGirk"
"https://static-cdn.jtvnw.net/jtv_user_pictures/59966379-c0da-433a-8a24-3ac850b6b3c7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","793","mery_soldier","125160","1920","185","64","229201","47","5286","true","false","Spanish","mery_soldier"
"https://static-cdn.jtvnw.net/jtv_user_pictures/4fb151e7-be38-44c7-a31a-d00fd265fa0f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","794","kutcherlol","8765685","10065","6260","870","228831","11071","148777","true","false","German","kutcherlol"
"https://static-cdn.jtvnw.net/jtv_user_pictures/0149120c-37ef-43ad-98e5-bb07bc7ea6ad-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","795","CoconutB","128385","6645","67","18","228423","72","959","true","true","English","CoconutB"
"https://static-cdn.jtvnw.net/jtv_user_pictures/94d04d3e-ff50-4438-a3ee-6c71c5478896-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","796","ofmanny","17190","285","118","59","228371","842","430","true","false","English","ofmanny"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d793d68c-bc0c-443f-a29e-0e2b1bff467a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","797","MojoOnPC","4289955","780","8506","5499","228293","26174","69923","true","false","English","MojoOnPC"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e097ad91-57d0-4756-8f2b-072b2f2f3669-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","798","The_Happy_Hob","6776850","14745","914","459","227887","2946","16483","true","true","English","The_Happy_Hob"
"https://static-cdn.jtvnw.net/jtv_user_pictures/jessecox-profile_image-5f318bb87c5e4882-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","799","JesseCox","2564790","960","5126","2671","227825","2350","25874","true","false","English","JesseCox"
"https://static-cdn.jtvnw.net/jtv_user_pictures/229fa69255ffc542-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","800","kev1nTV","25673400","5445","11268","4714","227221","16177","289580","true","false","German","kev1nTV"
