"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/soyfelipez360-profile_image-75a6427850e34957-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","825","SoyFelipez360","2253675","2205","3502","1021","222147","4076","35980","true","false","Spanish","SoyFelipez360"
"https://static-cdn.jtvnw.net/jtv_user_pictures/18f090cb-256b-41a6-9ea7-878b98ada142-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","826","Vityshka","48277905","10590","16969","4558","221977","30276","580503","true","true","Russian","Vityshka"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1bb5b3c3-d2b9-413a-b47f-dec757104b4f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","827","malaso","0","15","0","0","221169","0","0","true","false","Spanish","malaso"
"https://static-cdn.jtvnw.net/jtv_user_pictures/4f8d4825-c797-414f-b2fc-3461b3450046-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","828","CaMiLLs","318255","8520","526","36","220913","414","1343","true","true","English","CaMiLLs"
"https://static-cdn.jtvnw.net/jtv_user_pictures/edc0397f-0bc5-4b5d-8d19-875837bf8bb0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","829","ZombiUnicorn","935025","4920","469","189","220649","1533","22393","true","true","English","ZombiUnicorn"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c3729f7c-d27c-447b-aaa5-8161136b6572-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","830","Ruben","34200","2370","37","13","220500","112","1137","true","true","Hungarian","Ruben"
"https://static-cdn.jtvnw.net/jtv_user_pictures/600f32a2-9e17-4a5d-8718-68b8f81448d3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","831","NVIDIAGeForcePL","6412680","6540","4319","980","220431","5079","85890","true","false","Polish","NVIDIAGeForcePL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/purgegamers-profile_image-ed4c093db11c38c3-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","832","PurgeGamers","6482070","2985","5296","2171","220216","2457","50633","true","false","English","PurgeGamers"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2f163313-2309-4d02-a75c-b3550cd953ec-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","833","Calfreezy","1496445","1200","2549","1246","219850","14559","23291","true","false","English","Calfreezy"
"https://static-cdn.jtvnw.net/jtv_user_pictures/scspple7545-profile_image-54aeb32c1db044c2-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","834","鳥屎 (scspple7545)","1201890","570","3688","2108","219759","1441","34201","true","true","Chinese","鳥屎 (scspple7545)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/parasite-profile_image-3837f80c2a444327-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","835","Parasite","5082945","10125","2311","501","219445","1699","17299","true","false","English","Parasite"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a1387785-cfab-435b-9ffb-0b910a5c389c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","836","Macaiyla","7080","750","50","9","218876","39","83","true","false","English","Macaiyla"
"https://static-cdn.jtvnw.net/jtv_user_pictures/014dbed9-85c9-481d-92b8-e8e28b960842-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","837","Acai","5025","540","17","8","218865","10","25","true","true","English","Acai"
"https://static-cdn.jtvnw.net/jtv_user_pictures/mcconnellret-profile_image-091795ee30efa5c5-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","838","McconnellRet","160890","7980","357","19","218634","288","1200","true","true","English","McconnellRet"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2ce8e254-63aa-42ad-9471-b73fedb46693-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","839","PsheroTV","9282675","9900","1795","937","218619","3357","84517","true","true","English","PsheroTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/gamegrumps-profile_image-fefa452156a62c2f-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","840","GameGrumps","3040080","120","32818","25334","218505","6451","0","true","false","English","GameGrumps"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9cd7b4e1-901d-448d-89b5-8b843334963c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","841","VernNotice","5656605","8310","3439","680","218501","5663","19859","true","true","English","VernNotice"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6caf05c1-c33d-4df5-aaa6-d501fe6ffb09-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","842","Rguardian","326805","210","4768","1555","218458","2364","4562","true","false","English","Rguardian"
"https://static-cdn.jtvnw.net/jtv_user_pictures/chelxie-profile_image-32e8af9a4d8c9226-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","843","Chelxie","3261180","4830","1415","674","218265","968","67861","true","true","French","Chelxie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3ec0a387-fb62-496e-8edc-5da90b60eb3c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","844","피유 (beyou0728)","2536935","9285","1486","272","218233","3511","28057","true","false","Korean","피유 (beyou0728)"
"https://static-cdn.jtvnw.net/user-default-pictures-uv/41780b5a-def8-11e9-94d9-784f43822e80-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","845","iMAV3RIQ","4134345","2250","4570","1837","217865","12581","27798","true","false","English","iMAV3RIQ"
"https://static-cdn.jtvnw.net/jtv_user_pictures/19fa5060-5c7e-4275-95ba-e09cdf43d122-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","846","MonsterDface","2453835","9720","919","251","217528","1200","12189","true","false","English","MonsterDface"
"https://static-cdn.jtvnw.net/jtv_user_pictures/creativemonkeyz-profile_image-bcdf027d84d96ee3-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","847","CreativeMonkeyz","13693905","5370","4897","2549","217418","3110","203648","true","true","Romanian","CreativeMonkeyz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3f9a5d89-3b97-4add-9863-061c4e4c1f94-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","848","SaftigesGnu","8730","285","47","30","217379","108","369","true","true","German","SaftigesGnu"
"https://static-cdn.jtvnw.net/jtv_user_pictures/56ad21c9-972f-4298-a9db-1ba0e67dc1d9-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","849","zai","7505475","3660","8092","2050","217190","2489","77066","true","true","English","zai"
"https://static-cdn.jtvnw.net/jtv_user_pictures/sloot-profile_image-90b22817174dfa26-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","850","Sloot","7269825","13245","3426","548","216447","1174","60611","true","false","English","Sloot"
