"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/452f3b03-1467-4cbf-a517-87313b505b52-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","551","NetherRealm","13212285","1155","32795","11438","304762","5898","233511","true","false","English","NetherRealm"
"https://static-cdn.jtvnw.net/jtv_user_pictures/mathil1-profile_image-39376f797063a87b-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","552","Mathil1","8569185","11340","1579","755","304429","1955","56745","true","false","English","Mathil1"
"https://static-cdn.jtvnw.net/jtv_user_pictures/24f1e222-b9d1-413c-bcb9-fd7a0e7af22c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","553","Flair","2467200","7875","1663","312","304019","5041","49600","true","false","English","Flair"
"https://static-cdn.jtvnw.net/jtv_user_pictures/39cb7df3-2493-40fd-b7b3-f9f4450bf0fb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","554","Leffen","888465","2115","997","419","302988","1430","7588","true","true","English","Leffen"
"https://static-cdn.jtvnw.net/jtv_user_pictures/39daaaf2-b032-4fcc-a5fb-2c7ec00f2404-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","555","PCH3LK1N","4962510","10950","1781","452","302856","3032","80309","false","false","Russian","PCH3LK1N"
"https://static-cdn.jtvnw.net/jtv_user_pictures/10c866e9-c251-4cba-8356-badc9766ad86-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","556","koil","19500","240","152","80","302802","208","149","true","true","English","koil"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7ffa27c6-68eb-44e6-91c1-8f8be4eb241d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","557","Vargskelethor","5263785","3045","3555","1728","302312","3761","53408","true","true","English","Vargskelethor"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8beb64df-b71c-4d8c-99ca-3b1ca4dc33d5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","558","Mexify","45","15","3","3","302277","0","0","true","false","German","Mexify"
"https://static-cdn.jtvnw.net/jtv_user_pictures/728b6989-ba75-438a-9b7f-f4073d97a479-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","559","PinkWardlol","2112900","11190","501","188","302032","4412","34816","true","false","English","PinkWardlol"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c22d5e13-21fc-443b-91a9-d98d8c7d33e8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","560","EAMaddenNFL","4523640","12390","6481","364","301883","5660","370497","true","false","English","EAMaddenNFL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ccdeb274-9d91-4033-8196-d2c3eaa631e4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","561","ChilledChaos","1336155","855","2270","1562","301847","2472","7736","true","false","English","ChilledChaos"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e67e88e7e95eba6d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","562","Kiwo","1869975","3645","857","512","301813","614","10327","true","true","English","Kiwo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d2326d21-094d-45bf-ac38-5f0701439869-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","563","S7ORMyTv","90","15","6","6","301531","0","0","true","false","Italian","S7ORMyTv"
"https://static-cdn.jtvnw.net/jtv_user_pictures/godazed-profile_image-2bad04aeafa1e0b9-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","564","GODaZeD","21416955","6840","8134","3130","299424","16616","119558","true","false","English","GODaZeD"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ff188331-c73b-4893-aced-ad189265a692-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","565","w0xic","340050","915","769","371","298978","1549","9635","true","true","Turkish","w0xic"
"https://static-cdn.jtvnw.net/jtv_user_pictures/roomonfire-profile_image-4ee96c1bf16c2f37-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","566","RoomOnFire","772575","780","1654","990","298309","24","11655","true","false","English","RoomOnFire"
"https://static-cdn.jtvnw.net/jtv_user_pictures/765f4978b39deed4-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","567","BlackUFA","10872765","1905","9804","5707","298253","7205","145589","true","false","Russian","BlackUFA"
